,rank,name,name_link,budget,studio,total_gross,total_thea,open_gross,open_thea,open_date,close_date,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
76,54,Why Him?,http://www.boxofficemojo.com//movies/?id=whyhim.htm,$38 million,Fox,60323786,3008,11002986.0,2917.0,12/23,3/23,Why Him?,2016,tt4501244,6.2,"66,652",movie,http://www.foxmovies.com/movies/why-him,John Hamburg (screenplay by)| Ian Helfer (screenplay by)| Jonah Hill (story by)| John Hamburg (story by)| Ian Helfer (story by),111 min,True,23 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '40%'}| {'Source': 'Metacritic'| 'Value': '39/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BNDlkMDQ1NzUtNGE3OC00NmUwLWI0NjAtNDJmODUzY2NhOGIzL2ltYWdlXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,39.0,"English, Khmer",Comedy,John Hamburg,28 Mar 2017,"USA, Cambodia","$60,312,925",,Zoey Deutch| James Franco| Tangie Ambrose| Cedric the Entertainer
77,56,Jack Reacher: Never Go Back,http://www.boxofficemojo.com//movies/?id=jackreacher2.htm,$60 million,Par.,58697076,3780,22872490.0,3780.0,10/21,1/12,Jack Reacher: Never Go Back,2016,tt3393786,6.1,"94,638",movie,http://www.ReacherMovie.com,Richard Wenk (screenplay)| Edward Zwick (screenplay)| Marshall Herskovitz (screenplay)| Lee Child (book),118 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '38%'}| {'Source': 'Metacritic'| 'Value': '47/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BODQ3ODQ3NDI4NV5BMl5BanBnXkFtZTgwMDY1Mzk5OTE@._V1_SX300.jpg,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",47.0,"English, Ukrainian",Action| Adventure| Crime,Edward Zwick,31 Jan 2017,"China, USA","$58,676,235",,Tom Cruise| Cobie Smulders| Aldis Hodge| Danika Yarosh
78,58,Me Before You,http://www.boxofficemojo.com//movies/?id=mebeforeyou.htm,$20 million,WB (NL),56245075,2762,18723269.0,2704.0,6/3,8/18,Me Before You,2016,tt2674426,7.4,"130,233",movie,http://mebeforeyoumovie.com,Jojo Moyes (based on the novel by)| Jojo Moyes (screenplay by),106 min,True,03 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '57%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_SX300.jpg,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,51.0,"English, French",Drama| Romance,Thea Sharrock,30 Aug 2016,"UK, USA","$56,228,651",5 wins & 6 nominations.,Sam Claflin| Vanessa Kirby| Emilia Clarke| Eileen Dunwoodie
79,60,Neighbors 2: Sorority Rising,http://www.boxofficemojo.com//movies/?id=universalcomedy2016.htm,,Uni.,55455765,3416,21760405.0,3384.0,5/20,7/14,Neighbors 2: Sorority Rising,2016,tt4438848,5.7,"85,160",movie,http://www.neighbors-movie.com/,Andrew Jay Cohen| Brendan O'Brien| Nicholas Stoller| Evan Goldberg| Seth Rogen| Andrew Jay Cohen (based on characters created by)| Brendan O'Brien (based on characters created by),92 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '62%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzUxMDUzN15BMl5BanBnXkFtZTgwNzI2MTY4ODE@._V1_SX300.jpg,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",58.0,English,Comedy,Nicholas Stoller,20 Sep 2016,USA,,3 wins & 4 nominations.,Seth Rogen| Zac Efron| Rose Byrne| Chloë Grace Moretz
80,62,Office Christmas Party,http://www.boxofficemojo.com//movies/?id=officechristmasparty.htm,$45 million,Par.,54767494,3210,17500000.0,3210.0,12/9,1/26,Office Christmas Party,2016,tt1711525,5.8,"38,251",movie,,Justin Malen (screenplay)| Laura Solon (screenplay)| Dan Mazer (screenplay)| Jon Lucas (story)| Scott Moore (story)| Timothy Dowling (story),105 min,True,09 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '41%'}| {'Source': 'Metacritic'| 'Value': '42/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNTI2MDE5MjQ3MV5BMl5BanBnXkFtZTgwNjA0MTUzMDI@._V1_SX300.jpg,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",42.0,English,Comedy,Josh Gordon| Will Speck,04 Apr 2017,USA,"$54,730,514",1 win & 1 nomination.,Jason Bateman| Olivia Munn| T.J. Miller| Jennifer Aniston
81,64,Barbershop: The Next Cut,http://www.boxofficemojo.com//movies/?id=barbershop3.htm,,WB (NL),54030051,2676,20242415.0,2661.0,4/15,7/14,Barbershop: The Next Cut,2016,tt3628584,5.9,"11,014",movie,http://www.barbershopmovie.com,Kenya Barris| Tracy Oliver| Mark Brown (characters),111 min,True,15 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '90%'}| {'Source': 'Metacritic'| 'Value': '67/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUxMzM5MjIxNF5BMl5BanBnXkFtZTgwMDk1NzMzNzE@._V1_SX300.jpg,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",67.0,English,Comedy| Drama,Malcolm D. Lee,26 Jul 2016,USA,"$54,014,580",1 win & 3 nominations.,Ice Cube| Cedric the Entertainer| Regina Hall| Sean Patrick Thomas
82,66,The Huntsman: Winter's War,http://www.boxofficemojo.com//movies/?id=huntsman.htm,$115 million,Uni.,48390190,3802,19445035.0,3791.0,4/22,8/4,The Huntsman: Winter's War,2016,tt2381991,6.1,"72,363",movie,https://www.facebook.com/thehuntsmanmovie,Evan Spiliotopoulos| Craig Mazin| Evan Daugherty (characters),114 min,True,22 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '17%'}| {'Source': 'Metacritic'| 'Value': '35/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMmI5ZjBjZmMtNTQwOC00YWJjLThkNmUtOTY2ZDkwMmI2ZmU4XkEyXkFqcGdeQXVyMTQ1ODEyNjA@._V1_SX300.jpg,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",35.0,English,Action| Adventure| Drama,Cedric Nicolas-Troyan,23 Aug 2016,USA,"$46,445,229",16 nominations.,Chris Hemsworth| Charlize Theron| Jessica Chastain| Emily Blunt
83,68,Manchester by the Sea,http://www.boxofficemojo.com//movies/?id=manchesterbythesea.htm,$9 million,RAtt.,47695371,1213,256498.0,4.0,12/16,4/27,Manchester by the Sea,2016,tt4034228,7.9,"164,395",movie,http://manchesterbytheseathemovie.com/,Kenneth Lonergan,137 min,True,16 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '95%'}| {'Source': 'Metacritic'| 'Value': '96/100'}],R,Amazon Studios,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,96.0,English,Drama,Kenneth Lonergan,21 Feb 2017,USA,"$47,695,120",Won 2 Oscars. Another 113 wins & 239 nominations.,Casey Affleck| Ben O'Brien| Kyle Chandler| Richard Donelly
84,70,How to Be Single,http://www.boxofficemojo.com//movies/?id=howtobesingle.htm,$38 million,WB (NL),46843513,3357,17878911.0,3343.0,2/12,4/14,How to Be Single,2016,tt1292566,6.1,"64,530",movie,http://howtobesinglemovie.com/,Abby Kohn (screenplay)| Marc Silverstein (screenplay)| Dana Fox (screenplay)| Abby Kohn (screen story)| Marc Silverstein (screen story)| Liz Tuccillo (book),110 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '47%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4MDMwMzUwNF5BMl5BanBnXkFtZTgwMDgyNzkyNzE@._V1_SX300.jpg,A group of young adults navigate love and relationships in New York City.,51.0,English,Comedy| Romance,Christian Ditter,24 May 2016,USA,,2 nominations.,Dakota Johnson| Rebel Wilson| Leslie Mann| Damon Wayans Jr.
85,72,War Dogs,http://www.boxofficemojo.com//movies/?id=armsandthedudes.htm,,WB,43034523,3258,14685305.0,3258.0,8/19,10/20,War Dogs,2016,tt2005151,7.1,"126,667",movie,http://www.wardogsthemovie.com/,"Stephen Chin (screenplay)| Todd Phillips (screenplay)| Jason Smilovic (screenplay)| Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",114 min,True,19 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '60%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzQ0NzM4MV5BMl5BanBnXkFtZTgwMDI0ODM2OTE@._V1_SX300.jpg,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",57.0,"English, Arabic, Albanian, Romanian",Comedy| Crime| Drama,Todd Phillips,22 Nov 2016,"USA, Cambodia","$43,017,433",Nominated for 1 Golden Globe. Another 2 nominations.,Miles Teller| Steve Lantz| Gregg Weiner| David Packouz
86,74,Money Monster,http://www.boxofficemojo.com//movies/?id=moneymonster.htm,$27 million,TriS,41012075,3104,14788157.0,3104.0,5/13,8/4,Money Monster,2016,tt2241351,6.5,"74,012",movie,http://www.sonypictures.com/movies/moneymonster/,Jamie Linden (screenplay)| Alan DiFiore (screenplay)| Jim Kouf (screenplay)| Alan DiFiore (story)| Jim Kouf (story),98 min,True,13 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '57%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],R,Smokehouse Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMjU1NDUwMl5BMl5BanBnXkFtZTgwODg1NjY0ODE@._V1_SX300.jpg,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,55.0,"English, Korean, Icelandic",Crime| Drama| Thriller,Jodie Foster,06 Sep 2016,USA,,2 nominations.,George Clooney| Julia Roberts| Jack O'Connell| Dominic West
87,76,Nerve,http://www.boxofficemojo.com//movies/?id=nerve.htm,$19 million,LGF,38583626,2538,9445456.0,2538.0,7/27,10/6,Nerve,2016,tt3531824,6.6,"82,648",movie,http://www.playnerve.com/,Jeanne Ryan (novel)| Jessica Sharzer (screenplay),96 min,True,27 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '66%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Keep Your Head,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzOTg1OTM4NV5BMl5BanBnXkFtZTgwMTg2Mjg0OTE@._V1_SX300.jpg,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",58.0,English,Adventure| Crime| Mystery,Henry Joost| Ariel Schulman,25 Oct 2016,USA,"$38,562,379",5 nominations.,Emma Roberts| Dave Franco| Emily Meade| Miles Heizer
88,78,The Nice Guys,http://www.boxofficemojo.com//movies/?id=niceguys.htm,$50 million,WB,36261763,2865,11203270.0,2865.0,5/20,8/4,The Nice Guys,2016,tt3799694,7.4,"196,341",movie,http://www.theniceguysmovie.com,Shane Black| Anthony Bagarozzi,116 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '92%'}| {'Source': 'Metacritic'| 'Value': '70/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjcwNDA5MDYyNl5BMl5BanBnXkFtZTgwNjg0NDkzNzE@._V1_SX300.jpg,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",70.0,English,Comedy| Crime| Drama,Shane Black,23 Aug 2016,USA,"$32,261,515",8 wins & 32 nominations.,Russell Crowe| Ryan Gosling| Angourie Rice| Matt Bomer
89,80,Dirty Grandpa,http://www.boxofficemojo.com//movies/?id=dirtygrandpa.htm,$25 million,LGF,35593113,2912,11111875.0,2912.0,1/22,3/17,Dirty Grandpa,2016,tt1860213,6.0,"84,106",movie,,John Phillips,102 min,True,22 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '11%'}| {'Source': 'Metacritic'| 'Value': '21/100'}],R,Lionsgate Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",21.0,English,Comedy,Dan Mazer,17 May 2016,USA,"$34,690,808",2 wins & 11 nominations.,Robert De Niro| Zac Efron| Zoey Deutch| Aubrey Plaza
90,82,The 5th Wave,http://www.boxofficemojo.com//movies/?id=5thwave.htm,$38 million,Sony,34916787,2908,10326356.0,2908.0,1/22,5/26,The 5th Wave,2016,tt2304933,5.2,"77,668",movie,http://www.laquintaola.com.mx/,Susannah Grant (screenplay by)| Akiva Goldsman (screenplay by)| Jeff Pinkner (screenplay by)| Rick Yancey (based on the novel by),112 min,True,22 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '16%'}| {'Source': 'Metacritic'| 'Value': '33/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",33.0,English,Action| Adventure| Sci-Fi,J Blakeson,03 May 2016,USA,,1 nomination.,Chloë Grace Moretz| Matthew Zuk| Gabriela Lopez| Bailey Anne Borders
91,84,Mother's Day,http://www.boxofficemojo.com//movies/?id=mothersday.htm,$25 million,ORF,32492859,3291,8369184.0,3035.0,4/29,6/16,Mother's Day,2016,tt4824302,5.6,"22,844",movie,http://www.seemothersday.com/,Anya Kochoff (screenplay)| Matthew Walker (screenplay)| Tom Hines (screenplay)| Lily Hollander (story)| Matthew Walker (story)| Tom Hines (story)| Garry Marshall (story),118 min,True,29 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '6%'}| {'Source': 'Metacritic'| 'Value': '18/100'}],PG-13,Open Road Films,https://images-na.ssl-images-amazon.com/images/M/MV5BODYzMjc5NDEzNF5BMl5BanBnXkFtZTgwMzI3ODcyODE@._V1_SX300.jpg,Three generations come together in the week leading up to Mother's Day.,18.0,English,Comedy| Drama,Garry Marshall,02 Aug 2016,USA,"$29,149,230",1 win & 5 nominations.,Jennifer Aniston| Timothy Olyphant| Shay Mitchell| Caleb Brown
92,86,Collateral Beauty,http://www.boxofficemojo.com//movies/?id=collateralbeauty.htm,$36 million,WB (NL),31016021,3028,7102085.0,3028.0,12/16,2/9,Collateral Beauty,2016,tt4682786,6.8,"58,574",movie,,Allan Loeb,97 min,True,16 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '14%'}| {'Source': 'Metacritic'| 'Value': '23/100'}],PG-13,New Line Cinema,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODE4MTY2NV5BMl5BanBnXkFtZTgwMzM2NzEzMDI@._V1_SX300.jpg,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",23.0,English,Drama| Romance,David Frankel,14 Mar 2017,USA,"$30,982,955",1 win & 3 nominations.,Will Smith| Edward Norton| Kate Winslet| Michael Peña
93,88,When the Bough Breaks,http://www.boxofficemojo.com//movies/?id=whentheboughbreaks.htm,$10 million,SGem,29747603,2246,14202323.0,2246.0,9/9,11/17,When the Bough Breaks,2016,tt1389139,4.9,"3,573",movie,http://www.whentheboughbreaks-movie.com/site/,Jack Olsen (screenplay)| Jack Olsen,107 min,True,09 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '11%'}| {'Source': 'Metacritic'| 'Value': '28/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MTk3Mzk4NV5BMl5BanBnXkFtZTgwMDgzNDUyOTE@._V1_SX300.jpg,A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.,28.0,English,Crime| Drama| Horror,Jon Cassar,27 Dec 2016,USA,"$29,740,655",1 nomination.,Morris Chestnut| Regina Hall| Romany Malco| Michael Kenneth Williams
94,90,Moonlight (2016),http://www.boxofficemojo.com//movies/?id=moonlight2016.htm,$4 million,A24,27854932,1564,402075.0,4.0,11/18,5/4,Moonlight,2016,tt4975722,7.5,"168,277",movie,http://moonlight.movie/,Barry Jenkins (screenplay by)| Tarell Alvin McCraney (story by),111 min,True,18 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '98%'}| {'Source': 'Metacritic'| 'Value': '99/100'}],R,A24 Films,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",99.0,English,Drama,Barry Jenkins,28 Feb 2017,USA,"$27,850,910",Won 3 Oscars. Another 211 wins & 259 nominations.,Mahershala Ali| Shariff Earp| Duan Sanderson| Alex R. Hibbert
95,92,Florence Foster Jenkins,http://www.boxofficemojo.com//movies/?id=florencefosterjenkins.htm,$29 million,Par.,27383770,1528,6601313.0,1528.0,8/12,10/27,Florence Foster Jenkins,2016,tt4136084,6.9,"36,410",movie,,Nicholas Martin,111 min,True,12 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '87%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],PG-13,BBC Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Mzc4MjMxMl5BMl5BanBnXkFtZTgwODIwNTQxODE@._V1_SX300.jpg,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",71.0,"English, German, Italian, Russian",Biography| Comedy| Drama,Stephen Frears,13 Dec 2016,UK,"$27,370,107",Nominated for 2 Oscars. Another 8 wins & 37 nominations.,Meryl Streep| Hugh Grant| Simon Helberg| Rebecca Ferguson
96,94,The Forest,http://www.boxofficemojo.com//movies/?id=forest.htm,$10 million,Focus,26594261,2509,12741176.0,2451.0,1/8,3/17,The Forest,2016,tt3387542,4.8,"31,245",movie,,Nick Antosca| Sarah Cornwell| Ben Ketai,93 min,True,08 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '9%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG-13,Gramercy Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMzQzNTc5OV5BMl5BanBnXkFtZTgwNDgyMTU2NzE@._V1_SX300.jpg,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.",34.0,"English, Japanese",Horror| Mystery| Thriller,Jason Zada,12 Apr 2016,USA,"$21,818,536",1 nomination.,Natalie Dormer| Eoin Macken| Stephanie Vogt| Osamu Tanpopo
97,96,The Witch,http://www.boxofficemojo.com//movies/?id=thewitch.htm,$4 million,A24,25138705,2204,8800230.0,2046.0,2/19,5/26,The Witch,2015,tt4263482,6.8,"114,205",movie,http://thewitch-movie.com/,Robert Eggers,92 min,True,19 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '91%'}| {'Source': 'Metacritic'| 'Value': '83/100'}],R,A24 Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNzkwMzAxOF5BMl5BanBnXkFtZTgwMzc1OTk1NjE@._V1_SX300.jpg,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",83.0,English,Horror| Mystery,Robert Eggers,17 May 2016,"USA, UK, Canada, Brazil","$19,239,494",39 wins & 62 nominations.,Anya Taylor-Joy| Ralph Ineson| Kate Dickie| Harvey Scrimshaw
98,98,Kevin Hart: What Now?,http://www.boxofficemojo.com//movies/?id=kevinhart2016.htm,$9.9 million,Uni.,23591043,2567,11767210.0,2567.0,10/14,12/15,Kevin Hart: What Now?,2016,tt4669186,5.8,"6,325",movie,http://www.kevinhartwhatnow.com/,"Kevin Hart| Joey Wells| Harry Ratchford| Kevin Hart (""Casino"" segment story by)| Brian Buccellato (""Casino"" segment written by)",96 min,True,14 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '77%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI2MDk3OTA5N15BMl5BanBnXkFtZTgwMDU1MDgxMDI@._V1_SX300.jpg,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",60.0,English,Documentary| Comedy,Leslie Small| Tim Story,10 Jan 2017,USA,"$23,564,630",,Kevin Hart| Halle Berry| Don Cheadle| Ed Helms
99,100,Snowden,http://www.boxofficemojo.com//movies/?id=snowden.htm,$40 million,ORF,21587519,2443,8000058.0,2443.0,9/16,11/17,Snowden,2016,tt3774114,7.3,"93,907",movie,http://snowdenfilm.com/,Kieran Fitzgerald (screenplay)| Oliver Stone (screenplay)| Anatoly Kucherena (book)| Luke Harding (book),134 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '61%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],R,Open Road Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_SX300.jpg,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",58.0,English,Biography| Drama| Thriller,Oliver Stone,27 Dec 2016,"France, Germany, USA","$21,562,346",3 wins & 7 nominations.,Melissa Leo| Zachary Quinto| Joseph Gordon-Levitt| Jaymes Butler
100,101,Mechanic: Resurrection,http://www.boxofficemojo.com//movies/?id=mechanic2.htm,,LG/S,21218403,2258,7456525.0,2258.0,8/26,10/27,Mechanic: Resurrection,2016,tt3522806,5.7,"54,892",movie,http://www.mechanic.movie/,Lewis John Carlino (based upon the characters created by)| Philip Shelby (story by)| Philip Shelby (screenplay by)| Tony Mosher (screenplay by),98 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '31%'}| {'Source': 'Metacritic'| 'Value': '38/100'}],R,Summit Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_SX300.jpg,"Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.",38.0,"English, Portuguese, Thai, Bulgarian",Action| Adventure| Crime,Dennis Gansel,22 Nov 2016,"France, USA","$21,203,260",1 nomination.,Jason Statham| Jessica Alba| Tommy Lee Jones| Michelle Yeoh
101,103,Blair Witch,http://www.boxofficemojo.com//movies/?id=woods2016.htm,$5 million,LGF,20777061,3121,9576057.0,3121.0,9/16,10/27,Blair Witch,2016,tt1540011,5.0,"30,734",movie,http://www.blairwitch.com/,Simon Barrett,89 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '35%'}| {'Source': 'Metacritic'| 'Value': '47/100'}],R,Vertigo Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTEyMjA3NV5BMl5BanBnXkFtZTgwODk5OTU4OTE@._V1_SX300.jpg,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.",47.0,English,Horror| Thriller,Adam Wingard,03 Jan 2017,"Canada, USA","$20,747,013",6 nominations.,James Allen McCune| Callie Hernandez| Corbin Reid| Brandon Scott
102,105,Keanu,http://www.boxofficemojo.com//movies/?id=keanu.htm,$15 million,WB (NL),20591853,2681,9453224.0,2658.0,4/29,6/30,Keanu,2016,tt4139124,6.3,"34,932",movie,http://keanumovie.com/,Jordan Peele| Alex Rubens| Jamie Schaecher (gag writer),100 min,True,29 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '77%'}| {'Source': 'Metacritic'| 'Value': '63/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwODA0NzQxMl5BMl5BanBnXkFtZTgwNzUyMjY3ODE@._V1_SX300.jpg,"When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",63.0,English,Action| Comedy,Peter Atencio,02 Aug 2016,USA,,5 wins & 5 nominations.,Jordan Peele| Keegan-Michael Key| Tiffany Haddish| Method Man
